,name,height,weight
0,alex,16.71,51.25
1,ajay,18.17,61.91
2,alice,17.63,69.41
3,ravi,17.33,64.56
4,joe,17.22,65.45
5,alex,16.71,51.25
6,ajay,18.17,61.91
7,alice,17.63,69.41
8,ravi,17.33,64.56
9,joe,17.22,65.45
10,alex,16.71,51.25
11,ajay,18.17,61.91
12,alice,17.63,69.41
13,ravi,17.33,64.56
14,joe,17.22,65.45
15,jack,17.45,55.93
16,tom,17.73,64.18
17,tracy,17.78,61.9
18,john,17.25,50.97
19,jack,17.45,55.93
20,tom,17.73,64.18
21,tracy,17.78,61.9
22,john,17.25,50.97
23,jack,17.45,55.93
24,tom,17.73,64.18
25,tracy,17.78,61.9
26,john,17.25,50.97
27,simon,17.25,50.97
28,jacob,16.96,54.73
29,cindy,16.89,57.81
30,ivan,17.18,51.77
31,simon,17.25,50.97
32,jacob,16.96,54.73
33,cindy,16.89,57.81
34,ivan,17.18,51.77
35,simon,17.25,50.97
36,jacob,16.96,54.73
37,cindy,16.89,57.81
38,ivan,17.18,51.77
